category,4050,after-finish,animalcompany,artwork-creative-h-and-m,artwork-dark,bj,body,cat,ceo,club,couple,dog,event,evil-omen,fashionshow,first-birthday,food,good-omen,group,kids,landscape,location,lookbook,model-and-actor,model-works,musician,panorama,person,portrait-strong,product,profile-1,review,seminude,street,tour,uniform,video-club,video-entertainment,video-excercise,video-fashion,video-music,video-sketch,video-wedding,wedding,withyou,zoo
couple,101.61323732663968,302.3524433504714,82.06095295571457,56.2716624954337,170.5300560018673,87.06574782567738,3432.390113155684,69.94998213009065,356.4326724642397,20.09975124224178,0.0,426.2179606727056,20.396078054371138,48.53864439804639,50.714889332423866,12.609520212918492,55.86591089385369,31.56342820417326,252.49009881577535,118.30152154558283,45.70557952810576,47.82258880487337,263.4905121631517,231.1884752990752,23.323807579381203,107.48139373863738,90.37698822156003,280.8315158200336,43.255057507764334,167.41639704640642,13.564659966250536,177.5161964441555,300.711009294823,91.41115905621152,14.352700094407323,116.75199260731175,859.7867468157439,139.2300254973761,68.30263538107442,111.26544836560899,74.03377607551839,195.05512041471763,144.40221604947757,60.55163086160438,458.22920029173173,34.096370774614705
dog,439.25960433438445,522.2611894445154,420.7129860922606,429.730438763651,458.4672834565188,435.65145982131685,3457.746179072271,428.9694045033981,555.3611437614267,426.31414473366937,426.2179606727056,0.0,426.32821862973134,428.5974218307898,428.8493325166777,426.0642557173742,428.69423835643045,427.0081966426406,493.80461723236243,441.8676272369362,428.28582745638454,428.54492179933715,502.23400920288145,480.4819050818783,426.47831128909706,437.6825333503726,435.3248786825766,493.8384590239111,426.0830318142228,453.7576445637032,426.05604091480734,461.3585915532516,520.8347733313427,434.83761336848494,426.05604091480734,441.2899021933062,959.5066440624578,448.7034098377234,431.28296975419744,440.1360585091842,432.2276599200935,468.7549999733336,450.9121311297801,430.20489304516286,570.1611614271881,422.83288168416294
event,107.97800701994828,302.4351170085908,82.365041127896,56.07584150059632,169.68352895905954,92.20870048126936,3432.484798056488,70.39176088151227,356.7635771768189,21.307275752662516,20.396078054371138,426.32821862973134,0.0,46.88283267892417,51.20546845796843,16.522711641858304,56.31163290120435,32.34578797927173,253.5138063301484,118.34377888169703,46.24932431938871,48.590122453025366,266.3630041878939,231.29658689896638,24.372115213907882,109.15241637270336,90.65318527222306,282.6947828980538,43.829214001622255,167.56565877291206,15.297058540778355,177.65697284373613,300.90382368974826,91.68424073961675,16.792855623746664,116.96592571248165,859.8623436341425,141.58036587041298,68.66767798608018,111.48990985734987,74.3706931526122,196.06504022900157,148.43180252223578,63.20205692855257,458.8180467244069,34.82186812909382
evil-omen,115.19223064078584,305.62558793399484,92.28217596047462,63.45470825714984,172.0421459991708,99.74188911608023,3431.9591910290674,83.03613671167511,358.9710991152352,48.92851929090027,48.53864439804639,428.5974218307898,46.88283267892417,0.0,67.54257916307313,47.042533945356304,71.49125820686051,46.76804464589043,252.77114154903046,126.27450257276803,63.86704940734306,63.773035054010094,265.1551432652212,234.01305756540833,50.33885179461288,117.27851465635128,97.94896630388705,284.61261440382043,48.95916665957459,172.9978323563622,46.62617290749907,183.03551567933476,300.401583070248,101.7152889196113,47.138094997570704,124.98411010115557,860.0530506893165,148.27339613025663,81.2603839518372,116.35291143757426,82.58934555982388,196.1721183043095,154.82893786369524,74.2057949219601,460.9273261589076,56.14768472519593
fashionshow,117.53829163298231,305.97875743260346,94.55157322858251,74.39422020560468,176.87990275890587,103.23974256285437,3432.798841891102,84.32674546073743,359.77249755922145,51.088159097779204,50.714889332423866,428.8493325166777,51.20546845796843,67.54257916307313,0.0,49.28488612140643,72.98630008433089,56.58842637854493,257.730964379525,127.4411628948826,53.80520420925842,67.20863039818622,267.40465590561433,222.53564009189878,52.44044240850758,118.61808462456304,101.85283501208987,281.0201777057615,63.85138996137829,173.44811904428366,48.88762624632127,183.62461708605412,304.46528720218845,79.30952023559341,49.37610758251404,124.64761440869127,861.1151200623526,149.0,82.89300332356163,120.77251342917394,87.67553820764375,201.48821305475911,155.52491761772453,78.42512352556417,461.1615768903563,58.039318569397416
first-birthday,107.08057713703265,302.11587181080046,81.18497397917918,56.44023387619863,170.11025836204,87.80344209906833,3432.456684197033,68.83313155741209,356.4424918552781,16.15549442140351,12.609520212918492,426.0642557173742,16.522711641858304,47.042533945356304,49.28488612140643,0.0,54.57105459856901,29.21044333795706,253.13287024801818,117.7295629822858,44.11349000022555,46.561786907291264,263.7806854187774,230.8789966868167,20.024984394500787,108.26472186266402,89.58236433584459,281.0539810744153,41.569219381653056,166.988772077646,6.4031242374328485,177.11295830627412,300.58295212987565,90.62560344626678,7.280109889280518,116.13796871728805,859.6942770543492,138.27508813954884,67.24767653978834,110.62097450302994,73.06161783043132,194.51092514303664,143.11883174481267,58.76648704831692,458.60767547000347,31.93058878254518
food,119.85094909928749,306.8745672094708,96.6902270139025,77.99679480594058,178.42505429451325,105.8652182940386,3432.34043895545,87.52142594816426,360.53467239642845,56.20498198558558,55.86591089385369,428.69423835643045,56.31163290120435,71.49125820686051,72.98630008433089,54.57105459856901,0.0,61.2474489264655,258.7938368663365,129.57719706800268,46.26013402488151,71.17583859709698,259.2416826052477,237.071953446862,57.436921923097515,120.91009056319493,104.513157066467,287.4044889659481,64.88451279003334,172.833011892983,54.2125446737192,185.11347870968228,305.36553687525236,75.0133321483588,54.653453687758834,116.97020038359247,861.4338337910812,150.08664164408503,83.69139740737992,121.78259317324459,90.75241043630741,202.84600070003845,157.2800050864699,81.85047342563145,461.75642930012356,61.46187842882773
good-omen,110.6322737721683,303.3928970823147,85.11315996953702,56.76926985614664,169.09686573085853,95.30317121924351,3432.3503811366477,74.39926074901551,356.870424664191,32.159757461772,31.56342820417326,427.0081966426406,32.34578797927173,46.76804464589043,56.58842637854493,29.21044333795706,61.2474489264655,0.0,254.6556498489676,121.10119735163646,52.146428449127754,54.23329235810785,263.6768856005395,232.54754591504746,34.267331381360876,110.51922909611703,90.9189199231931,283.71921027272333,37.20551034457127,167.70957038881232,28.53506614676055,179.2825981516332,300.89260727228094,94.79583324176227,29.364093720052047,119.42059193362667,859.6589440004682,143.61493654909296,72.56376506218514,111.93859924083381,75.73803535872844,194.74791398112586,150.373701158148,67.63689821391871,459.4499428664672,42.341616643675756
group,248.222682283469,394.0434620698585,265.68261139939136,256.30792028339664,304.8503731341,252.22151859911645,3439.3008212264435,259.6271364861539,394.40524844378024,253.49013787522387,252.49009881577535,493.80461723236243,253.5138063301484,252.77114154903046,257.730964379525,253.13287024801818,258.7938368663365,254.6556498489676,0.0,274.2106854227238,256.79223119089875,255.38647184218667,362.91941254223366,291.1809765611605,253.76613249210385,274.30913218483994,264.36575042921123,359.7069505552788,256.3674121256444,301.05398187036155,253.05582388081882,308.8126454664705,376.36466506715414,268.7177887673237,253.15064684886744,278.3599787645088,896.0214841174289,289.56562295963244,261.7603866134064,276.1036942889392,263.3139760817872,319.75732986125587,292.9765348965681,260.3800107535139,523.7530429505875,254.98198465774007
kids,155.04676713817673,324.1700942406625,142.83994539343678,130.16816046944814,206.7601267169277,148.55872389208398,3433.9279460828657,135.9347269832106,363.02961311716706,118.63072957712096,118.30152154558283,441.8676272369362,118.34377888169703,126.27450257276803,127.4411628948826,117.7295629822858,129.57719706800268,121.10119735163646,274.2106854227238,0.0,125.53186846374908,124.70866048514834,286.96776822493496,256.63858071441854,119.2193356800817,155.7867131689991,147.77432117929015,301.26664315482685,124.6605390650947,201.89477457329102,117.69983007634293,212.55881538999975,318.424812335834,148.4090630655689,117.69983007634293,161.08469132036655,867.7456424552071,183.4782003399859,135.4049482109129,161.3978004806757,138.35552030909355,228.1682493249225,188.81538602560968,131.71844973275384,473.4271327247732,121.78592899017522
landscape,115.46536277169876,305.1884663613617,91.96194865269004,71.07390519733667,175.50925901501608,100.87340801442393,3432.53155686716,81.41252974819048,359.1006126421953,44.01136216933077,45.70557952810576,428.28582745638454,46.24932431938871,63.86704940734306,53.80520420925842,44.11349000022555,46.26013402488151,52.146428449127754,256.79223119089875,125.53186846374908,0.0,63.51377803280167,257.94427692817686,233.61744607608208,47.61302342846965,115.08800980119518,99.45350672550465,279.49479472394074,59.94997914928745,170.78422058258192,43.669211121796096,182.30469001098135,303.1371160236092,58.26662852782886,44.21538193886829,115.3777611924316,860.8346240713137,147.37028194313805,79.92652876235775,118.75605247733692,84.87638069569178,200.28604544500848,153.96428157205813,72.29453644640098,460.6376015915331,49.000637750951775
location,115.58654766018405,305.55195957479964,93.1611507013519,70.6080731928014,176.14056886475643,99.1132909575928,3432.572634175261,82.76472678623425,359.00591917125826,48.46648326421054,47.82258880487337,428.54492179933715,48.590122453025366,63.773035054010094,67.20863039818622,46.561786907291264,71.17583859709698,54.23329235810785,255.38647184218667,124.70866048514834,63.51377803280167,0.0,268.0489694067112,233.54894799829674,49.889878733065686,116.22069523109901,100.56341282991544,284.6389647918531,61.773780845922005,173.12784293694645,46.14108798023731,182.91254740995763,301.69870916381313,101.49384217774002,46.65833258915282,124.80395738027612,860.9635590430062,148.12157169028418,81.30344396149526,119.68709203585824,85.4049178911847,200.83948814911872,154.68354792931277,73.44725998973685,460.87850893700823,55.745515514703065
lookbook,284.66910615660424,402.4304287699925,275.22944973240055,266.0314830992753,313.59488197354244,257.9528919094423,3440.492911229759,274.6602446660237,381.0190283962207,266.3404775846135,263.4905121631517,502.23400920288145,266.3630041878939,265.1551432652212,267.40465590561433,263.7806854187774,259.2416826052477,263.6768856005395,362.91941254223366,286.96776822493496,257.94427692817686,268.0489694067112,0.0,341.2453092880708,266.60316952354486,278.10879166254347,255.31010555792733,363.17157140637784,262.305642333519,297.76752677214483,265.92715167880095,319.44522222127534,383.7282386157046,260.686113937816,262.34566891793736,249.29690019020381,894.0640357379331,280.30742052253987,273.6978260783231,278.50897651601827,269.09895949260004,302.73874875872764,265.2682604459116,257.8104924164259,530.0917373436413,267.76073741308676
model-and-actor,246.60973442082758,380.1303869872956,244.57332461065968,235.9716320050169,286.30859419708503,229.28172869007926,3434.0368373096994,240.8051309900001,411.5414451924753,230.48234446723052,231.1884752990752,480.4819050818783,231.29658689896638,234.01305756540833,222.53564009189878,230.8789966868167,237.071953446862,232.54754591504746,291.1809765611605,256.63858071441854,233.61744607608208,233.54894799829674,341.2453092880708,0.0,231.57312260085607,237.62756807893967,247.48759789353306,305.9029552906535,234.42079922888905,274.43097695251373,230.79452140618744,290.8506680602799,362.373349522898,245.49971713040955,230.89848659337528,255.4821694147928,890.1659177429291,270.3277845710853,240.30680621054225,254.72752326969126,241.99816344574003,302.44604661180665,273.97830408831845,235.39246188251465,480.1396787509975,232.9048595695485
model-works,108.56910241869001,302.64665866320087,83.13843876330611,59.21570737566174,171.05116193700644,92.90018538433841,3432.503443390682,71.29516112612411,356.9429226080831,24.124676163629637,23.323807579381203,426.47831128909706,24.372115213907882,50.33885179461288,52.44044240850758,20.024984394500787,57.436921923097515,34.267331381360876,253.76613249210385,119.2193356800817,47.61302342846965,49.889878733065686,266.60316952354486,231.57312260085607,0.0,109.73718604010219,91.35644476444998,282.9210848943178,45.2658811910251,167.94716431068434,19.026297590440446,178.01685313475238,301.1164411172381,92.37965143904798,20.248456731316587,117.51181973647492,859.9367709314447,142.03168660548954,69.59346233663044,112.06248257110852,75.22632517942107,196.39119124848753,148.86235252742716,64.20669746996803,458.95751437360735,36.6136927938169
musician,146.77704180150246,320.80406792932035,135.02684918193123,116.63940157596832,200.79529376955028,118.72950115470226,3432.242435914003,128.07517323821975,368.1582540158512,109.09743351701725,107.48139373863738,437.6825333503726,109.15241637270336,117.27851465635128,118.61808462456304,108.26472186266402,120.91009056319493,110.51922909611703,274.30913218483994,155.7867131689991,115.08800980119518,116.22069523109901,278.10879166254347,237.62756807893967,109.73718604010219,0.0,140.2364075409806,278.39466639606763,115.62547297200561,197.85474469923636,108.08445771710196,207.38912700525069,310.0602540009137,140.90510991443853,108.30627867302985,156.1471883975003,866.4937968618125,177.4633765034352,127.13575421572014,152.59177566304155,130.25839704218689,223.36013520769546,182.97609133435986,119.02415721188703,471.12869791597285,112.52027595060368
panorama,139.32426206515504,314.9904760464989,120.56533498481228,104.3240144933083,191.032719710525,127.4929191933593,3433.598679066744,102.83481900601566,367.4673454880039,90.5869747811461,90.37698822156003,435.3248786825766,90.65318527222306,97.94896630388705,101.85283501208987,89.58236433584459,104.513157066467,90.9189199231931,264.36575042921123,147.77432117929015,99.45350672550465,100.56341282991544,255.31010555792733,247.48759789353306,91.35644476444998,140.2364075409806,0.0,294.28275565818967,96.9896901737499,187.97406736036757,89.36442245099556,198.27758320092568,313.4567132972448,127.11412195346354,86.15103017375938,146.40023148129848,864.0736369083367,166.7243233604503,111.65684036367857,142.06336614342206,115.25189803209317,214.92673170175925,172.580416038437,108.38127144483958,467.18946905939566,94.68137356418104
person,288.471992189498,413.4215043726896,290.0454107166286,286.0521635607355,326.23739864978353,262.05556291663714,3431.1454203856374,289.3602258047532,450.6723757651203,280.1862599732146,280.8315158200336,493.8384590239111,282.6947828980538,284.61261440382043,281.0201777057615,281.0539810744153,287.4044889659481,283.71921027272333,359.7069505552788,301.26664315482685,279.49479472394074,284.6389647918531,363.17157140637784,305.9029552906535,282.9210848943178,278.39466639606763,294.28275565818967,0.0,285.2566217947934,326.0683828244894,282.2841481163577,333.1851441432793,369.2146413522748,280.8137109860873,281.936766452653,303.95290433808253,904.257480078422,301.49849133582376,290.11306464511,301.1516898139172,291.5155918261968,335.4025048770176,296.1356788328245,274.6831634406772,531.4229391715959,282.97509215084244
portrait-strong,114.5174659167762,304.83110077549503,88.53812738024223,64.00390613079799,171.38407160526907,99.78699536735458,3432.1906836434496,80.06247560499239,358.796948147556,43.69210454990696,43.255057507764334,426.0830318142228,43.829214001622255,48.95916665957459,63.85138996137829,41.569219381653056,64.88451279003334,37.20551034457127,256.3674121256444,124.6605390650947,59.94997914928745,61.773780845922005,262.305642333519,234.42079922888905,45.2658811910251,115.62547297200561,96.9896901737499,285.2566217947934,0.0,171.85240760606177,41.09744517606904,181.70580618131055,302.2385003786101,99.30256794262674,41.677331968349414,123.02856488546787,858.905262528994,146.6287829861518,77.91180911774543,110.83771921146699,75.73638491504595,190.38513597442423,153.25468997717493,73.82072879618569,460.4009122493134,51.64845109003754
product,198.17038123796402,345.07861423159795,184.85737745624328,175.393129854051,237.11336950918647,187.44784459802264,3436.0769983935006,180.46398532671276,361.118401635807,167.52984808684093,167.41639704640642,453.7576445637032,167.56565877291206,172.9978323563622,173.44811904428366,166.988772077646,172.833011892983,167.70957038881232,301.05398187036155,201.89477457329102,170.78422058258192,173.12784293694645,297.76752677214483,274.43097695251373,167.94716431068434,197.85474469923636,187.97406736036757,326.0683828244894,171.85240760606177,0.0,166.8719569010923,243.25757953247827,342.9115937251336,185.69396866888272,167.0157178232037,192.6065361761583,875.7713742752728,215.6507593309145,173.8260624877639,194.01610757872658,182.0528769341479,254.68755368097592,222.80989654860485,176.85233953781895,436.7015571302672,169.11774744242544
profile-1,106.89831617008754,302.0513201427863,80.94442537939224,56.09367165732691,169.99558817804655,90.94198394825376,3432.451003130109,68.72408602520662,356.4382835779569,14.89966442575134,13.564659966250536,426.05604091480734,15.297058540778355,46.62617290749907,48.88762624632127,6.4031242374328485,54.2125446737192,28.53506614676055,253.05582388081882,117.69983007634293,43.669211121796096,46.14108798023731,265.92715167880095,230.79452140618744,19.026297590440446,108.08445771710196,89.36442245099556,282.2841481163577,41.09744517606904,166.8719569010923,0.0,177.00282483621552,300.51807118892384,90.41017641836565,7.0710678118654755,115.9699434240518,859.7274277350932,140.75865870347016,66.95707580233773,110.4445562261898,72.79423054061358,195.47250446034604,147.648230602334,61.33922073192649,458.56515349511676,31.313934597875114
review,206.77342672596978,350.089988431546,194.6278500112458,185.67309982870432,245.4108799544144,198.99357890254763,3437.0114763976117,189.87100884547908,397.9651366640048,177.6231966833161,177.5161964441555,461.3585915532516,177.65697284373613,183.03551567933476,183.62461708605412,177.11295830627412,185.11347870968228,179.2825981516332,308.8126454664705,212.55881538999975,182.30469001098135,182.91254740995763,319.44522222127534,290.8506680602799,178.01685313475238,207.38912700525069,198.27758320092568,333.1851441432793,181.70580618131055,243.25757953247827,177.00282483621552,0.0,348.76799037628314,198.75110062588334,177.1383639983163,211.60583115258848,877.7580817058878,226.14375958668415,189.23860599782486,208.62885706440517,191.3818173181559,263.6996397418851,230.4951192541829,187.32458461184427,491.5384013482568,179.74582748981965
seminude,311.7264202968865,426.0799351191172,310.8908347171256,303.67928989496653,344.25805889058154,303.38589288231583,3401.2706449208067,308.27278684812757,462.6914318540069,300.8838831029524,300.711009294823,520.8347733313427,300.90382368974826,300.401583070248,304.46528720218845,300.58295212987565,305.36553687525236,300.89260727228094,376.36466506715414,318.424812335834,303.1371160236092,301.69870916381313,383.7282386157046,362.373349522898,301.1164411172381,310.0602540009137,313.4567132972448,369.2146413522748,302.2385003786101,342.9115937251336,300.51807118892384,348.76799037628314,0.0,313.82018913879824,300.59792266599436,320.6900978965345,909.8507356215695,331.84651740090794,307.79922207684524,318.865349498987,308.11379571695767,355.8379000487597,334.82698683217143,305.12228878125427,548.2619001089818,302.1418104319743
street,139.99732140294685,315.28875653914463,119.24764148611074,106.38843922156204,192.5370094293562,128.2280953786823,3433.2549991063715,113.55615351005862,367.7230615558399,91.61877536837086,91.41115905621152,434.83761336848494,91.68424073961675,101.7152889196113,79.30952023559341,90.62560344626678,75.0133321483588,94.79583324176227,268.7177887673237,148.4090630655689,58.26662852782886,101.49384217774002,260.686113937816,245.49971713040955,92.37965143904798,140.90510991443853,127.11412195346354,280.8137109860873,99.30256794262674,185.69396866888272,90.41017641836565,198.75110062588334,313.82018913879824,0.0,90.67524469225324,134.5549247622612,864.467032338423,167.28717822953436,112.4955554677606,142.7235089254745,116.06463716395274,215.36364595725064,173.12423285028586,109.24513719154734,467.3906289176111,92.99764781971639
tour,107.12259332185718,302.13076639097847,81.24038404635961,56.519907997094265,170.13670973661152,90.10241086921285,3432.4579952111417,68.81133627535509,356.4298668742562,16.431676725154983,14.352700094407323,426.05604091480734,16.792855623746664,47.138094997570704,49.37610758251404,7.280109889280518,54.653453687758834,29.364093720052047,253.15064684886744,117.69983007634293,44.21538193886829,46.65833258915282,262.34566891793736,230.89848659337528,20.248456731316587,108.30627867302985,86.15103017375938,281.936766452653,41.677331968349414,167.0157178232037,7.0710678118654755,177.1383639983163,300.59792266599436,90.67524469225324,0.0,116.17670927418187,859.7367329595729,140.06070112633307,67.3145600891813,110.66164647247935,73.12318373812782,195.2421573328875,146.27371602581238,60.435916473567275,458.6174876735513,32.07120983062535
uniform,157.71581334088785,323.5460211125734,141.41791887090469,128.8158677251284,205.43010436101565,147.3684912802673,3434.176308325865,134.79624541424653,328.38891238557034,116.91461746838065,116.75199260731175,441.2899021933062,116.96592571248165,124.98411010115557,124.64761440869127,116.13796871728805,116.97020038359247,119.42059193362667,278.3599787645088,161.08469132036655,115.3777611924316,124.80395738027612,249.29690019020381,255.4821694147928,117.51181973647492,156.1471883975003,146.40023148129848,303.95290433808253,123.02856488546787,192.6065361761583,115.9699434240518,211.60583115258848,320.6900978965345,134.5549247622612,116.17670927418187,0.0,867.5126960326158,182.37331980796364,133.90398716161434,160.140649985498,136.91613410324504,227.2807246067686,187.74191800921227,127.45925274812775,473.00002936340053,120.11490447807789
