category,4050,animalcompany,artwork-creative-h-and-m,artwork-dark,bj,body,cat,ceo,club,dog,evil-omen,fashionshow,good-omen,group,kids,landscape,location,lookbook,model-and-actor,musician,panorama,person,portrait-strong,product,seminude,street,uniform,wedding,withyou,zoo
evil-omen,0.025203741709050882,0.02727276107194907,0.023482347342434776,0.024850539841170693,0.0431798578269534,0.24119040183218807,0.03407319829868237,0.04314639659736476,0.021351982391957406,0.1072422493877834,0.0,0.021958002438951844,0.020664168228190706,0.03602287260938104,0.029364087921239686,0.03569941405669075,0.024999256417120246,0.06690758751970494,0.07155869843252727,0.03320097558073823,0.026638856666964097,0.11125672942506169,0.022664406174712225,0.03352443413342851,0.06627554207191931,0.039610660004164064,0.030371642723297926,0.028739478302251566,0.05655319591921717,0.023495360042830375
fashionshow,0.007751851521370574,0.009642410993129295,0.008655304720264122,0.014217304660777488,0.024835668183575736,0.2260584902293208,0.01666592308378692,0.025292971654620622,0.0028442045150352457,0.08925497952668472,0.021958002438951844,0.0,0.004216114928169894,0.018660212367270456,0.011332203087356114,0.01699830463103417,0.007517622914250022,0.04918800749531545,0.05138529490497012,0.01474524850539841,0.009335683055233336,0.09242177508105053,0.005970970524374648,0.015537164272329792,0.04944826150322717,0.019362898188632103,0.011893608161565688,0.011555277951280451,0.03822387793343446,0.005508090181731656
good-omen,0.00786338895333274,0.00899549388774873,0.007852235210136524,0.012254245858243355,0.026062579935159563,0.22429619880431861,0.015952083519229058,0.024400672198923293,0.0037141964843401447,0.08894267471719064,0.020664168228190706,0.004216114928169894,0.0,0.01939635941822076,0.011332203087356116,0.017689836709199602,0.007718390291781921,0.04981261711430357,0.053682966003390745,0.014589096100651377,0.008911840813777104,0.09429560393801492,0.004424318134499271,0.014644864816632462,0.04831057969721306,0.02197287409654679,0.012116683025490021,0.012023735165521549,0.038915410011599885,0.005195785372237589
group,0.018381368787365043,0.024822655483180155,0.023344784509681447,0.029620624014752676,0.03649132982362213,0.23108882841081452,0.030686178281431244,0.03641325362124861,0.017489069331667707,0.10120063848983271,0.03602287260938104,0.018660212367270456,0.01939635941822076,0.0,0.024125546533416614,0.03329392344070669,0.021359418220754885,0.0638328723119479,0.06018559828678507,0.02840858392076381,0.023489783171232265,0.0990768418547931,0.021106600041640642,0.030717408762380653,0.05902932690877727,0.03530159721602568,0.027341542488325737,0.026869367359685904,0.05208798072633176,0.020688334671782514
kids,0.012904880878022664,0.016725037922726862,0.016596769875970377,0.021935694952559405,0.03206329377472411,0.2298953778888194,0.023135094137592575,0.02915216680051158,0.010830284643526365,0.09438570139694437,0.029364087921239686,0.011332203087356114,0.011332203087356116,0.024125546533416614,0.0,0.025475149460158813,0.014254483804764876,0.057620237351655224,0.0582113857410547,0.020299812617114305,0.016964843401445526,0.09728480711460097,0.013570387555396923,0.02196172035335059,0.05318104755956102,0.029088962255733,0.018496624133725947,0.018515213705719635,0.0448268939055947,0.0123490526754112
landscape,0.021760952975818676,0.023517667529222797,0.02306594092977602,0.028047946224086122,0.03996014395764551,0.2387737574730078,0.030139644864816625,0.03939130305463844,0.01738868564290175,0.10313023606277821,0.03569941405669075,0.01699830463103417,0.017689836709199602,0.03329392344070669,0.025475149460158813,0.0,0.02125903453198893,0.06185865976621757,0.0674020701347372,0.028776657446238953,0.023478629428036045,0.1069439487225246,0.020381606733886556,0.029144730971714102,0.06376966776716933,0.03346122958864994,0.024430415514113193,0.025519764432943685,0.05281297403408583,0.018814505814818114
location,0.010941822075488534,0.013055456411171586,0.012046042651913984,0.016098569346539363,0.028427173492757495,0.2270623271169803,0.02007896850182921,0.027858332589750442,0.006814937092888373,0.092668024944727,0.024999256417120246,0.007517622914250022,0.007718390291781921,0.021359418220754885,0.014254483804764876,0.02125903453198893,0.0,0.053136432586776146,0.05511064513250649,0.018269831355402874,0.010651824752386902,0.09512098093453496,0.010142470479759674,0.018950209690372085,0.05054132833645641,0.02442669759971446,0.015931263198596116,0.014678326046221109,0.04110154367805836,0.008921135599773951
lookbook,0.05395065584009997,0.05566275542071921,0.050504149192469,0.059077659795960864,0.06643913030546386,0.2632896850182921,0.062347193718211846,0.06685181880372386,0.048953778888194896,0.13520840149509725,0.06690758751970494,0.04918800749531545,0.04981261711430357,0.0638328723119479,0.057620237351655224,0.06185865976621757,0.053136432586776146,0.0,0.09463951101989823,0.05924868385830286,0.05272374408851611,0.13325191100800088,0.051679010142470505,0.05778754349959847,0.08741560334314857,0.06391094851432143,0.05172734302965409,0.0561256357633622,0.08513652181672164,0.05246534903780378
model-and-actor,0.055322566253234604,0.05897541714999555,0.05731908628535739,0.06314877606257994,0.06429389369739154,0.24680073465988506,0.06635584902293207,0.0686698789447072,0.052087980726331765,0.13388110605474754,0.07155869843252727,0.05138529490497012,0.053682966003390745,0.06018559828678507,0.0582113857410547,0.0674020701347372,0.05511064513250649,0.09463951101989823,0.0,0.05406219327206211,0.05951637369501205,0.11039045537015547,0.05456039380149313,0.06139020255197646,0.0833147437613396,0.07030204336575355,0.06061687635703876,0.06064290175782995,0.08566074774694389,0.05519801612087686
musician,0.017700990452395825,0.020428080663870793,0.018983670919960734,0.024344903482942205,0.03253175098896523,0.22712924957615763,0.02715044168823057,0.033368281728681476,0.014243330061568662,0.0973749045735304,0.03320097558073823,0.01474524850539841,0.014589096100651377,0.02840858392076381,0.020299812617114305,0.028776657446238953,0.018269831355402874,0.05924868385830286,0.05406219327206211,0.0,0.020667886142589454,0.09362637934624192,0.01698343297343922,0.02579860801284911,0.05324797001873831,0.03250200767377531,0.021931977038160674,0.021549031855090564,0.049556081020790586,0.016052095416555126
