category,4050,after-finish,animalcompany,artwork-creative-h-and-m,artwork-dark,bj,body,cat,ceo,club,couple,dog,event,evil-omen,fashionshow,first-birthday,food,good-omen,group,kids,landscape,location,lookbook,model-and-actor,model-works,musician,panorama,person,portrait-strong,product,profile-1,review,seminude,street,tour,uniform,video-club,video-entertainment,video-excercise,video-fashion,video-music,video-sketch,video-wedding,wedding,withyou,zoo
couple,0.003192874699972967,0.00950046954754034,0.0025785059844686434,0.0017681590729122924,0.005358367824096382,0.002735765838984364,0.10785200669774336,0.00219795701901306,0.0111997697553571,0.0006315711309423968,0.0,0.013392551788616041,0.00064088226408079,0.0015251734296322511,0.001593555045794937,0.0003962143036266611,0.0017554096117471702,0.0009917809333597253,0.007933703026418708,0.0037172512661612835,0.0014361533237425218,0.001502673646657451,0.008279356234505946,0.007264366859358216,0.0007328769074432428,0.0033772629611512144,0.0028398110988707,0.008824242445248503,0.0013591534173688718,0.0052605309362578605,0.0004262265503927898,0.005577885198559481,0.009448892672264664,0.0028723066474850437,0.00045098821977713506,0.0036685622186115245,0.02701608002563217,0.004374863330632399,0.002146194356043187,0.0034961649132948624,0.0023262773315166816,0.006128990429370546,0.004537383065183899,0.0019026435463190693,0.014398403779787327,0.001071370644921122
dog,0.01380234420532237,0.01641040658113167,0.013219575368177866,0.01350292030679186,0.014405884790464063,0.013688969672311604,0.10864874089779322,0.013479007211418636,0.017450467989361403,0.013395574068614904,0.013392551788616041,0.0,0.01339601629629949,0.013467318832075092,0.013475234328882252,0.013387722096382533,0.013470360985276682,0.013417382455385405,0.015516248773994106,0.013884293078929652,0.0134575279640655,0.01346566918458247,0.015781115764426753,0.015097624668715736,0.013400732483553716,0.013752789736068265,0.013678707892618271,0.015517312145291786,0.013388312075859317,0.014257899279299392,0.013387463972185619,0.01449673500560099,0.01636558596484973,0.01366339712076936,0.013387463972185617,0.013866139896097602,0.03014946249999867,0.014099085933628385,0.013551703684342416,0.01382988400657295,0.013581387585863108,0.014729143754071755,0.014168488016646663,0.013517828532448163,0.01791551174947959,0.013286186384419887
event,0.0033928674633133785,0.009503067305847313,0.0025880609938066304,0.0017620060173007483,0.00533176838834437,0.002897366865083091,0.10785498187137428,0.0022118385194505033,0.011210167389687947,0.0006695137707042424,0.00064088226408079,0.01339601629629949,0.0,0.0014731447817415292,0.001608969943691074,0.0005191739714645187,0.0017694150165343079,0.001016364115609481,0.007965869798276463,0.0037185790693384773,0.0014532387845840914,0.0015267909647454947,0.008369615214073652,0.00726776392455511,0.0007658166602956129,0.0034297695639498305,0.002848489717901746,0.008882789721855579,0.001377194469807455,0.005265221014074221,0.00048066169806059247,0.00558230865180632,0.009454951254980306,0.0028808873759502518,0.0005276623919480492,0.0036752843900229905,0.027018455416626626,0.004448715345496087,0.0021576646657055828,0.0035032179059654323,0.0023368638853923708,0.00616072396634726,0.004664000079253285,0.0019859248052962316,0.014416906417106265,0.0010941671053917932
evil-omen,0.003619551630503875,0.009603317766975485,0.0028996755997006953,0.001993863574458754,0.005405880471301519,0.003134073499326952,0.10783846633241369,0.0026091480506417945,0.011279531786810217,0.0015374240154249889,0.0015251734296322511,0.013467318832075092,0.0014731447817415292,0.0,0.002122311992555322,0.0014781628890921069,0.0022463867464842264,0.0014695379307428256,0.007942533905704022,0.00396777698579004,0.002006820091354063,0.0020038659875572695,0.008331662003620463,0.007353120426250066,0.001581739255133162,0.003685106509233347,0.003077736568857409,0.008943051513081555,0.0015383870120840406,0.005435909893365663,0.001465080059937127,0.005751312354417431,0.009439169931508186,0.003196081348613081,0.0014811655930108626,0.003927230482361527,0.02702444778285362,0.004659022659238229,0.002553350634778859,0.0036560223546763322,0.002595109051369171,0.006164088556301947,0.0048650098307524035,0.002331682479873059,0.014483183854168346,0.0017642634634782695
fashionshow,0.0036932691793552966,0.009614415001810006,0.0029709842334197174,0.002337603148644295,0.0055578916813481824,0.003243982484300216,0.10786484970592616,0.0026497013499053395,0.011304713199032881,0.0016052838679584981,0.001593555045794937,0.013475234328882252,0.001608969943691074,0.002122311992555322,0.0,0.0015486217163049939,0.0022933637104267366,0.0017781123763879005,0.008098380656073058,0.004004435597639674,0.0016906584197724562,0.0021118187085054584,0.008402345825785211,0.006992478871701455,0.0016477750953183842,0.003727198260001981,0.0032004032996728942,0.008830170548492115,0.0020063280427770084,0.005450058728807028,0.0015361390807956407,0.005769823003489525,0.009566858985143391,0.002492050910780626,0.0015514880622942353,0.003916657169165476,0.027057819954826475,0.0046818538884524745,0.0026046505364826908,0.0037948943732654815,0.0027549265736887276,0.00633113002528701,0.004886878793958351,0.002464261540473344,0.014490544442744896,0.0018237020760219142
first-birthday,0.003364668566756721,0.00949303603490339,0.002550981114821027,0.0017734558955600514,0.005345177010590417,0.0027589455490673476,0.10785409848223193,0.002162863521049869,0.01120007829867331,0.0005076353313873845,0.0003962143036266611,0.013387722096382533,0.0005191739714645187,0.0014781628890921069,0.0015486217163049939,0.0,0.0017147228467735746,0.0009178458236592949,0.007953900086347783,0.0036992792767411094,0.0013861269442333245,0.0014630569334576988,0.008288474011587664,0.007254642472484421,0.000629221819151635,0.0034018765707042897,0.0028148425557217465,0.008831232712471809,0.0013061812845766869,0.005247094173688798,0.00020119793361925682,0.005565214715043963,0.009444868880750216,0.0028476230462299067,0.0002287544348556329,0.00364926845930206,0.02701317445575331,0.004344857443505069,0.0021130456100483374,0.0034759143598752534,0.0022957303324566006,0.006111890813606807,0.004497056771243132,0.0018465510462943257,0.014410296165593195,0.0010033177936384972
food,0.003765937128021602,0.009642562991656584,0.0030381846665798115,0.0024508026647585414,0.005606443182859805,0.0033264797578645283,0.107850445843062,0.0027500840832101886,0.011328662133430588,0.0017660638487222494,0.0017554096117471702,0.013470360985276682,0.0017694150165343079,0.0022463867464842264,0.0022933637104267366,0.0017147228467735746,0.0,0.0019245074289541398,0.008131778063357001,0.0040715537177691335,0.0014535784454008328,0.0022364756825482162,0.008145850199693567,0.007449236557639027,0.0018047736660831899,0.003799217299707618,0.003283995508765656,0.0090307773437847,0.002038790661116523,0.005430730931437015,0.0017034578059299042,0.005816605772495908,0.009595146484689784,0.002357056783923293,0.0017173119776200734,0.003675418708046897,0.02706783452603554,0.004715998166349883,0.0026297375461863293,0.003826632935530074,0.0028516075549507433,0.0063737942089564315,0.004942026868388686,0.002571892330734688,0.014509235798904117,0.001931245198077855
good-omen,0.0034762694036816434,0.009533162516333533,0.002674411939341305,0.0017837948108765638,0.005313334351323129,0.002994600823856827,0.10785075824467072,0.002337761531783677,0.011213524734145828,0.0010105186947925217,0.0009917809333597253,0.013417382455385405,0.001016364115609481,0.0014695379307428256,0.0017781123763879005,0.0009178458236592949,0.0019245074289541398,0.0,0.008001748620548865,0.003805222226288656,0.0016385366362648153,0.0017041097363113232,0.008285212430496135,0.007307071356325137,0.0010767425414410332,0.0034727173321639285,0.0028568395891026897,0.00891497911304708,0.001169065525359663,0.005269742981580906,0.0008966242308487212,0.005633388787168365,0.009454598814525718,0.0029786593320270944,0.0009226738011013997,0.003752414514803666,0.027012064226251943,0.004512645296122324,0.002280086883336532,0.003517316551165242,0.0023798282909262666,0.0061193374385271285,0.0047250181039480916,0.0021252756705080504,0.014436761755427092,0.0013304514263527338
group,0.0077996129547044475,0.012381569900074108,0.008348236021976162,0.008053665994765015,0.009578959092980363,0.007925263742313164,0.10806915384843495,0.008157961869164303,0.012392937892970314,0.007965126091915912,0.007933703026418706,0.015516248773994106,0.007965869798276463,0.007942533905704022,0.008098380656073058,0.007953900086347783,0.008131778063357001,0.008001748620548865,0.0,0.008616203783903341,0.008068883933728163,0.008024712390956376,0.011403595052387546,0.009149441525880929,0.007973798350105385,0.008619297162131657,0.008306857829668854,0.011302653591681974,0.008055535337805009,0.009459669501032572,0.007951479147865478,0.009703460973023425,0.01182606960148167,0.008443606874071445,0.007954458659823015,0.008746582207840026,0.028154642077531152,0.009098684146414217,0.008224992509455034,0.008675685602166198,0.008273809146324813,0.010047363074980546,0.009205861269334427,0.008181618562561315,0.016457283360584055,0.008012002660101809
kids,0.004871854426965491,0.010186020243225844,0.004488293649440276,0.004090122874138198,0.0064967832432656,0.004667988181997926,0.10790032823512535,0.004271318993973624,0.011407057757020174,0.003727595587655018,0.0037172512661612835,0.013884293078929652,0.0037185790693384773,0.00396777698579004,0.004004435597639674,0.0036992792767411094,0.0040715537177691335,0.003805222226288656,0.008616203783903341,0.0,0.00394444205699133,0.003918575349101284,0.009017054775331814,0.0080640559533203,0.0037460906733725596,0.004895104891406099,0.0046433408068905,0.009466351709499667,0.0039170632856274845,0.0063439049355315325,0.003698345014182025,0.006678988700392766,0.010005492924928012,0.004663285563725653,0.003698345014182025,0.0050615771035464755,0.027266163156487257,0.005765222320188088,0.004254672371120594,0.0050714155689136125,0.004347384770120772,0.007169465807538806,0.005932926505125206,0.004138835812498157,0.014875950753331443,0.003826737753029858
landscape,0.0036281339441225063,0.009589582603656298,0.002889613469055461,0.0022332727477560616,0.005514823535428629,0.003169627903045528,0.1078564511191566,0.002558131335371264,0.01128360133989616,0.0013829179000575261,0.0014361533237425218,0.0134575279640655,0.0014532387845840914,0.002006820091354063,0.0016906584197724562,0.0013861269442333245,0.0014535784454008328,0.0016385366362648153,0.008068883933728163,0.00394444205699133,0.0,0.001995719655390469,0.008105083328458032,0.007340689586051283,0.0014960887173124792,0.003616276820147532,0.0031250119945170356,0.008782240211278578,0.0018837385435754108,0.005366354142422056,0.001372166885209618,0.005728348468530443,0.009525125405298011,0.001830844572751889,0.0013893285762409517,0.003625381341474678,0.0270490062551866,0.004630645151394754,0.002511438452862773,0.0037315334635455435,0.0026669718993147453,0.006293355709191154,0.0048378407406773965,0.002271627225338601,0.014474080175696248,0.00153969011000634
