user_Num,category,stayTime
339,video-entertainment,32
339,artwork-dark,5
339,person,18
339,bj,25
340,kids,4
340,kids,2
341,body,99
342,model-and-actor,5
342,body,33
342,seminude,9
342,body,8
343,body,9
343,body,2
344,body,8
345,grapher,41
346,retouching-process,92
346,map,86
346,body,14
347,about-studio,26
348,dog,26
348,dog,6
349,print,19
349,dog,1
349,dog,313
349,dog,33
349,withyou,129
349,animalcompany,25
349,zoo,14
350,artwork-creative-h-and-m,3
351,ceo,9
352,seminude,222
352,body,513
352,person,18
353,retouching-process,5
354,dog,14
355,reservation-process,2
356,grapher,18
356,lookbook,33
358,dog,2
360,video-wedding,9
361,reservation-process,2
362,musician,41
362,kids,14
362,ceo,14
362,4050,14
362,seminude,19
362,person,19
363,dog,8
364,dog,26
364,group,33
365,seminude,99
365,body,114
366,body,27
367,lesson-photo,42
368,about-studio,834
369,person,13
370,model-and-actor,9
370,body,7
371,uniform,2
372,body,18
372,body,62
372,seminude,14
373,body,2
373,body,86
373,contact,14
374,cat,26
374,dog,2
375,ceo,6
376,contact,25
376,review-board,93
376,contact,9
376,grapher,56
376,review-board/hugigesipan-cwalyeong-reseun/kamera-sueob-hugi,6
376,review,177
376,review-board,41
378,uniform,2
379,seminude,9
379,body,33
380,reservation-process,73
381,contact,8
381,lookbook,14
381,animalcompany,13
382,withyou,41
382,product,99
383,withyou,14
383,person,14
383,dog,26
384,model-and-actor,6
385,zoo,8
386,dog,32
386,model-and-actor,42
386,dog,32
386,product,50
386,withyou,393
387,person,14
387,lookbook,5
388,animalcompany,9
388,dog,19
388,dog,3
388,withyou,2
389,body,19
390,contact,3
392,contact,2
392,about-studio,9
393,uniform,9
395,body,41
395,body,19
395,seminude,51
396,model-and-actor,13
397,body,3
398,lookbook,117
398,lookbook,2
398,uniform,26
398,landscape,9
398,uniform,19
398,seminude,18
398,uniform,14
398,musician,19
398,model-and-actor,33
398,wedding,7
398,wedding,42
399,lookbook,8
400,dog,50
403,withyou,32
403,dog,3
403,cat,26
404,body,32
405,grapher,8
405,grapher,13
405,person,51
405,contact,3
406,contact,41
406,about-studio,113
406,contact,2
407,body,62
407,reservation-process,35
407,guide-body,33
407,reservation-process,33
407,model-and-actor,43
408,lookbook,3
409,model-and-actor,33
409,body,26
409,person,52
409,model-and-actor,9
410,model-and-actor,33
410,body,28
411,uniform,51
412,kids,98
413,seminude,26
413,grapher,2
413,body,42
414,group,8
414,body,19
414,seminude,9
415,seminude,9
415,body,25
417,body,13
417,body,19
417,seminude,6
417,body,9
417,person,18
418,video-club,25
419,review-board,62
419,model-and-actor,14
419,body,61
419,review-board/hugigesipan-cwalyeong-reseun/myujisyeon-peuropil-mic-aelbeom-jakes-sajincwalyeong,2
419,review-board/hugigesipan-cwalyeong-reseun/myujisyeon-peuropil-mic-aelbeom-jakes-sajincwalyeong,2
419,review-board,2
419,review-board,73
420,contact,5
420,model-and-actor,5
420,musician,19
421,body,13
422,person,61
422,body,61
423,grapher,26
423,model-and-actor,18
423,person,33
423,person,41
424,body,13
424,product,2
424,panorama,4
424,lookbook,6
424,product,5
424,seminude,5
425,4050,8
425,person,32
425,body,6
425,person,13
425,seminude,5
425,4050,5
425,model-and-actor,19
426,contact,18
426,grapher,33
427,body,8
427,body,72
428,lookbook,5
429,dog,29
430,reservation-process,42
431,about-studio,19
432,bj,9
432,ceo,26
432,4050,14
432,model-and-actor,19
432,seminude,18
433,body,2
433,body,26
433,person,2
434,grapher,2
435,map,13
436,body,13
437,contact,3
437,body,26
437,person,19
437,contact,8
437,grapher,26
437,body,50
437,review-board,24
438,musician,13
438,model-and-actor,25
439,dog,13
439,model-and-actor,25
439,body,25
439,musician,25
439,model-and-actor,19
440,body,3
441,body,5
443,product,86
444,body,33
445,lookbook,41
445,video-fashion,9
447,dog,19
447,dog,2
447,animalcompany,19
448,grapher,62
449,cat,33
449,dog,9
450,grapher,18
451,model,9
452,body,42
453,cat,32
453,dog,8
454,body,41
455,artwork-creative-h-and-m,18
455,body,9
455,seminude,6
455,lookbook,18
456,artwork-creative-h-and-m,8
456,artwork-creative-h-and-m,8
457,grapher,33
459,musician,6
460,seminude,14
460,body,18
461,seminude,9
462,model-and-actor,32
463,grapher,1
464,body,25
465,model-and-actor,26
466,dog,19
467,body,19
468,lesson-photo,19
469,dog,18
470,contact,32
470,body,33
471,ceo,13
472,product,6
472,lookbook,33
473,seminude,19
473,body,14
473,person,6
474,grapher,25
474,body,34
474,contact,42
474,person,73
474,review-board,116
474,contact,18
474,contact,13
474,lesson-photo,85
474,model-and-actor,26
474,person,33
474,group,61
474,print-copy,51
474,person,33
474,person,32
474,contact,6
475,body,18
476,seminude,8
476,body,25
477,model-and-actor,3
477,model-and-actor,33
477,seminude,25
478,dog,9
479,artwork-dark,8
479,dog,13
479,uniform,9
480,dog,8
482,seminude,9
483,model-and-actor,8
484,body,27
485,seminude,19
485,body,30
486,body,13
486,body,6
486,seminude,9
487,withyou,25
487,dog,2
487,cat,20
487,animalcompany,9
488,kids,42
490,ceo,13
491,model-and-actor,8
492,uniform,2
493,dog,33
494,lookbook,13
495,body,51
496,body,8
497,body,25
498,body,2
499,body,8
500,body,13
500,person,14
500,seminude,5
500,body,13
500,bj,13
500,model-and-actor,19
501,dog,2
501,grapher,6
503,grapher,8
504,person,50
505,person,5
508,contact,18
508,dog,5
509,video-club,857
509,video-fashion,72
509,about-studio,18
509,video-sketch,41
509,video-entertainment,114
510,body,62
510,seminude,19
511,seminude,32
511,seminude,19
511,body,5
512,dog,114
513,seminude,13
513,body,25
513,body,3
514,after-finish,6
515,apply-event,61
515,contact,3
515,for-english,42
515,music,2
516,lookbook,18
516,product,34
516,model-and-actor,19
517,bj,18
517,body,26
517,4050,99
517,person,5
517,body,62
517,group,33
517,person,42
517,couple,6
518,body,5
519,fashionshow,42
519,model-and-actor,73
519,about-studio,100
519,street,8
520,lesson-photo,85
520,grapher,25
520,dog,33
520,contact,19
521,seminude,41
521,person,64
521,body,8
521,model-and-actor,18
521,person,1
521,model-and-actor,21
521,body,5
521,seminude,9
521,person,39
521,body,5
522,body,19
523,person,14
523,dog,42
523,animalcompany,9
523,dog,18
524,video-fashion,26
526,person,26
526,grapher,14
526,contact,14
526,body,18
526,body,14
526,model-and-actor,18
526,seminude,9
526,body,14
526,contact,5
526,lookbook,13
527,model-and-actor,14
527,body,5
528,grapher,14
528,about-studio,11
529,model-and-actor,5
531,contact,313
532,grapher,57
533,dog,14
534,withyou,8
534,dog,9
535,dog,32
536,grapher,2
537,contact,957
538,grapher,32
539,couple,7
539,dog,2
539,withyou,35
540,grapher,8
540,about-studio,51
541,grapher,74
542,body,25
542,body,6
542,uniform,8
542,lookbook,6
542,seminude,13
542,model-and-actor,9
543,model-and-actor,2
543,bj,13
543,seminude,14
543,seminude,13
543,bj,9
543,model-and-actor,18
543,person,13
543,model-and-actor,6
543,seminude,28
543,bj,3
544,contact,6
544,dog,36
544,grapher,26
544,about-studio,2
544,about-studio,12
544,news,9
544,dog,19
544,about-studio,41
545,lookbook,5
546,dog,3
546,grapher,9
547,grapher,18
547,contact,62
548,grapher,5
550,person,33
550,model-and-actor,32
550,bj,19
550,model-and-actor,8
552,evil-omen,13
552,lookbook,72
552,about-studio,113
552,body,5
552,seminude,13
552,animalcompany,8
552,video-fashion,32
552,good-omen,2
552,portrait-strong,25
552,good-omen,13
552,contact,25
552,video-sketch,73
552,video-music,25
552,video-excercise,2
552,video-club,62
552,artwork-dark,5
552,artwork-creative-h-and-m,2
553,body,6
554,dog,86
554,grapher,5
554,dog,42
554,withyou,14
555,contact,25
555,grapher,2
556,dog,2
556,grapher,5
556,person,8
556,contact,8
556,for-english,2
556,news,13
556,artwork-dark,5
556,body,8
556,seminude,8
556,model-and-actor,19
557,landscape,2
560,dog,41
561,grapher,42
561,dog,26
562,body,13
563,model-and-actor,9
564,body,3
565,dog,50
566,dog,51
567,grapher,25
567,dog,5
567,dog,3
567,animalcompany,19
567,wedding,8
568,map,2
569,model,51
571,product,9
571,lookbook,6
571,artwork-dark,2
571,evil-omen,5
571,contact,5
571,panorama,26
572,video-excercise,2
573,video-excercise,2
574,person,6
574,about-studio,481
574,lookbook,25
574,seminude,25
574,artwork-creative-h-and-m,13
574,evil-omen,13
574,person,26
574,body,51
574,grapher,33
574,4050,9
574,model-and-actor,26
574,contact,73
574,bj,19
574,location,9
574,group,51
574,review-board,8
574,contact,18
575,map,17
576,model-and-actor,13
578,ceo,13
579,ceo,9
579,about-studio,6
579,grapher,19
579,dog,8
579,wedding,9
579,first-birthday,2
579,couple,1
579,tour,3
579,kids,8
579,cat,6
580,seminude,13
580,kids,8
580,seminude,9
580,location,18
580,seminude,2
581,body,8
582,about-studio,64
583,kids,32
584,video-excercise,51
585,contact,2
585,body,86
585,person,9
586,grapher,25
586,musician,10
586,seminude,14
586,lookbook,33
586,ceo,18
586,contact,13
586,body,51
586,artwork-dark,8
586,artwork-creative-h-and-m,6
586,good-omen,14
586,about-studio,52
586,product,19
586,contact,6
587,body,44
587,seminude,6
589,person,14
590,model-and-actor,33
591,video-wedding,113
591,lookbook,98
591,contact,33
591,lesson-photo,392
591,video-sketch,8
591,video-entertainment,61
591,person,61
591,contact,18
591,bj,50
591,wedding,26
591,couple,5
591,tour,2
591,first-birthday,6
591,video-sketch,61
591,video-club,8
593,contact,8
593,grapher,18
594,ceo,8
594,body,86
594,contact,51
594,bj,18
594,musician,32
594,seminude,13
594,person,8
594,body,42
594,person,62
594,model-and-actor,18
595,model-and-actor,19
596,review-board,113
597,review-board,73
597,after-finish,287
598,ceo,2
598,body,26
598,seminude,14
598,model-and-actor,14
598,ceo,8
598,bj,8
599,cat,8
599,dog,43
600,body,2
600,body,18
600,seminude,2
601,body,26
602,model-and-actor,5
603,body,62
604,body,51
605,model-and-actor,6
607,body,42
608,animalcompany,14
608,dog,32
608,person,2
608,product,8
608,zoo,14
608,food,5
608,street,18
608,food,5
608,dog,2
609,model-and-actor,42
609,model-and-actor,34
609,person,41
610,after-finish,92
611,ceo,9
611,about-studio,13
611,grapher,2
611,about-studio,222
611,grapher,41
611,contact,6
611,person,18
611,location,13
612,contact,6
612,contact,2
612,grapher,33
613,good-omen,19
613,artwork-dark,14
613,artwork-creative-h-and-m,8
613,evil-omen,8
613,portrait-strong,13
614,contact,13
614,lesson-photo,50
615,lesson-photo,7
616,review-board,32
616,grapher,5
616,contact,14
617,musician,13
617,model-and-actor,5
617,ceo,13
617,person,25
617,model-and-actor,8
617,musician,42
617,ceo,3
617,body,18
618,ceo,314
618,uniform,52
618,lookbook,79
618,product,36
618,kids,13
619,grapher,32
619,lookbook,32
619,ceo,10
620,body,6
621,bj,43
621,body,34
621,person,50
621,body,42
621,model-and-actor,13
621,musician,33
621,body,14
621,seminude,33
622,uniform,132
622,lookbook,47
622,uniform,33
623,grapher,3
624,grapher,0
627,grapher,0
631,body,0
632,after-finish,0
633,bj,0
636,lesson-photo,0
637,person,0
638,street,0
639,grapher,0
640,grapher,0
641,model-and-actor,0
646,body,0
647,lookbook,0
649,model-and-actor,0
650,body,0
